,temporal_frame_start_times
0,0.0
1,0.023219954648526078
2,0.046439909297052155
3,0.06965986394557823
4,0.09287981859410431
5,0.11609977324263039
6,0.13931972789115646
7,0.16253968253968254
8,0.18575963718820862
9,0.2089795918367347
10,0.23219954648526078
11,0.25541950113378686
12,0.2786394557823129
13,0.301859410430839
14,0.3250793650793651
15,0.34829931972789113
16,0.37151927437641724
17,0.3947392290249433
18,0.4179591836734694
19,0.44117913832199546
20,0.46439909297052157
21,0.4876190476190476
22,0.5108390022675737
23,0.5340589569160997
24,0.5572789115646258
25,0.5804988662131519
26,0.603718820861678
27,0.626938775510204
28,0.6501587301587302
29,0.6733786848072563
30,0.6965986394557823
31,0.7198185941043084
32,0.7430385487528345
33,0.7662585034013606
34,0.7894784580498866
35,0.8126984126984127
36,0.8359183673469388
37,0.8591383219954648
38,0.8823582766439909
39,0.905578231292517
40,0.9287981859410431
41,0.9520181405895691
42,0.9752380952380952
43,0.9984580498866213
44,1.0216780045351475
45,1.0448979591836736
46,1.0681179138321995
47,1.0913378684807256
48,1.1145578231292517
49,1.1377777777777778
50,1.1609977324263039
51,1.18421768707483
52,1.207437641723356
53,1.230657596371882
54,1.253877551020408
55,1.2770975056689342
56,1.3003174603174603
57,1.3235374149659864
58,1.3467573696145125
59,1.3699773242630386
60,1.3931972789115645
61,1.4164172335600906
62,1.4396371882086167
63,1.4628571428571429
64,1.486077097505669
65,1.509297052154195
66,1.5325170068027212
67,1.555736961451247
68,1.5789569160997732
69,1.6021768707482993
70,1.6253968253968254
71,1.6486167800453515
72,1.6718367346938776
73,1.6950566893424037
74,1.7182766439909296
75,1.7414965986394557
76,1.7647165532879818
77,1.787936507936508
78,1.811156462585034
79,1.8343764172335602
80,1.8575963718820863
81,1.8808163265306121
82,1.9040362811791383
83,1.9272562358276644
84,1.9504761904761905
85,1.9736961451247166
