,uid,file,zero_pred,one_pred,pred,label,temporal_frame_start_times
0,0_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,1.0114794,-0.8125797,0,0,0.0
1,1_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,0.47904408,-0.276102,0,0,0.023219954648526078
2,2_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.05714003,0.297096,1,0,0.046439909297052155
3,3_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.35041082,0.5972215,1,0,0.06965986394557823
4,4_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.5870207,0.81069285,1,0,0.09287981859410431
5,5_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.771388,0.9473743,1,0,0.11609977324263039
6,6_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9118948,1.0398307,1,0,0.13931972789115646
7,7_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9839202,1.07637,1,0,0.16253968253968254
8,8_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.0163562,1.0901575,1,0,0.18575963718820862
9,9_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.026016,1.0940057,1,0,0.2089795918367347
10,10_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.028759,1.0989851,1,0,0.23219954648526078
11,11_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.031289,1.1090776,1,0,0.25541950113378686
12,12_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.0338224,1.1229382,1,0,0.2786394557823129
13,13_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.031099,1.1345631,1,0,0.301859410430839
14,14_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-1.015999,1.1319152,1,0,0.3250793650793651
15,15_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.99893904,1.1266817,1,0,0.34829931972789113
16,16_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.98095477,1.119605,1,0,0.37151927437641724
17,17_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9613031,1.1069666,1,0,0.3947392290249433
18,18_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9464692,1.0974711,1,0,0.4179591836734694
19,19_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9372088,1.0926269,1,0,0.44117913832199546
20,20_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.9310049,1.089099,1,0,0.46439909297052157
21,21_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.91926575,1.0789039,1,0,0.4876190476190476
22,22_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.89196813,1.0522689,1,0,0.5108390022675737
23,23_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.8501269,1.0083483,1,0,0.5340589569160997
24,24_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7929588,0.9482662,1,0,0.5572789115646258
25,25_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7267425,0.87812793,1,0,0.5804988662131519
26,26_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.66153336,0.8096978,1,0,0.603718820861678
27,27_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.60065883,0.7461906,1,0,0.626938775510204
28,28_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.5497618,0.69512594,1,0,0.6501587301587302
29,29_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.51014996,0.6556137,1,0,0.6733786848072563
30,30_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.48193157,0.6271192,1,0,0.6965986394557823
31,31_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.46281797,0.6059397,1,0,0.7198185941043084
32,32_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.45720387,0.59933335,1,0,0.7430385487528345
33,33_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.46268874,0.60252714,1,0,0.7662585034013606
34,34_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.47585166,0.61362517,1,0,0.7894784580498866
35,35_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.48605996,0.6223914,1,0,0.8126984126984127
36,36_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.4876365,0.6232276,1,0,0.8359183673469388
37,37_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.48122126,0.6170985,1,0,0.8591383219954648
38,38_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.47212654,0.6101515,1,0,0.8823582766439909
39,39_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.47213215,0.6128849,1,0,0.905578231292517
40,40_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.4727403,0.6173014,1,0,0.9287981859410431
41,41_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.48213208,0.63146037,1,0,0.9520181405895691
42,42_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.50161314,0.65411454,1,0,0.9752380952380952
43,43_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.5326322,0.68750006,1,0,0.9984580498866213
44,44_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.56823814,0.7232838,1,0,1.0216780045351475
45,45_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.6138386,0.76966864,1,0,1.0448979591836736
46,46_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.66098523,0.8202918,1,1,1.0681179138321995
47,47_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7081254,0.87306327,1,1,1.0913378684807256
48,48_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7413139,0.9117152,1,1,1.1145578231292517
49,49_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7559675,0.9281448,1,1,1.1377777777777778
50,50_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.75758797,0.92970294,1,1,1.1609977324263039
51,51_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.75557745,0.92764103,1,0,1.18421768707483
52,52_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.74840003,0.9222352,1,0,1.207437641723356
53,53_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7421323,0.9187695,1,0,1.230657596371882
54,54_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7320534,0.9120878,1,0,1.253877551020408
55,55_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7164512,0.89813197,1,0,1.2770975056689342
56,56_nips4b_birds_trainfile367.wav,nips4b_birds_trainfile367.wav,-0.7017843,0.883987,1,0,1.3003174603174603
